	fpr	tpr	threshold	train_type	disease
128	0.5989304812834224	1.0	-0.7004660905181589	train	PanCan
129	0.6042780748663101	1.0	-0.7127369973719243	train	PanCan
130	0.6096256684491979	1.0	-0.7178921617004398	train	PanCan
131	0.6149732620320856	1.0	-0.7183015042401687	train	PanCan
132	0.6203208556149733	1.0	-0.7228178038338199	train	PanCan
133	0.6256684491978609	1.0	-0.735746056547646	train	PanCan
134	0.6310160427807486	1.0	-0.7394425180359591	train	PanCan
135	0.6363636363636364	1.0	-0.7460759383191394	train	PanCan
136	0.6417112299465241	1.0	-0.7541573355401315	train	PanCan
137	0.6470588235294118	1.0	-0.7580691447441202	train	PanCan
138	0.6524064171122995	1.0	-0.7675024598696961	train	PanCan
139	0.6577540106951871	1.0	-0.7761790213784349	train	PanCan
140	0.6631016042780749	1.0	-0.7792796499839502	train	PanCan
141	0.6684491978609626	1.0	-0.7868497628955681	train	PanCan
142	0.6737967914438503	1.0	-0.7925895419984527	train	PanCan
143	0.679144385026738	1.0	-0.8030939783704426	train	PanCan
144	0.6844919786096256	1.0	-0.8059261138734372	train	PanCan
145	0.6898395721925134	1.0	-0.8060249420711413	train	PanCan
146	0.6951871657754011	1.0	-0.8099776531329167	train	PanCan
147	0.7005347593582888	1.0	-0.8118336229282074	train	PanCan
148	0.7058823529411765	1.0	-0.8141922975597692	train	PanCan
149	0.7112299465240641	1.0	-0.8187058127367001	train	PanCan
150	0.7165775401069518	1.0	-0.8348879702138997	train	PanCan
151	0.7219251336898396	1.0	-0.8356353175418555	train	PanCan
152	0.7272727272727273	1.0	-0.8451081696650792	train	PanCan
153	0.732620320855615	1.0	-0.8477024871984097	train	PanCan
154	0.7379679144385026	1.0	-0.8491685803574774	train	PanCan
155	0.7433155080213903	1.0	-0.8552970126093667	train	PanCan
156	0.7486631016042781	1.0	-0.8639293946184005	train	PanCan
157	0.7540106951871658	1.0	-0.8730534386683076	train	PanCan
158	0.7593582887700535	1.0	-0.8931492547512933	train	PanCan
159	0.7647058823529411	1.0	-0.9340883501119693	train	PanCan
160	0.7700534759358288	1.0	-0.9355273872441013	train	PanCan
161	0.7754010695187166	1.0	-0.948417529815811	train	PanCan
162	0.7807486631016043	1.0	-0.9545348776014105	train	PanCan
163	0.786096256684492	1.0	-0.9692465701267362	train	PanCan
164	0.7914438502673797	1.0	-0.9933238676308657	train	PanCan
165	0.7967914438502673	1.0	-1.0232705245281384	train	PanCan
166	0.8021390374331551	1.0	-1.0459765900459397	train	PanCan
167	0.8074866310160428	1.0	-1.0580910850713883	train	PanCan
168	0.8128342245989305	1.0	-1.0719626166671148	train	PanCan
169	0.8181818181818182	1.0	-1.076236263611142	train	PanCan
170	0.8235294117647058	1.0	-1.0812859079383106	train	PanCan
171	0.8288770053475936	1.0	-1.098003970558104	train	PanCan
172	0.8342245989304813	1.0	-1.0992716232185331	train	PanCan
173	0.839572192513369	1.0	-1.1053262255148981	train	PanCan
174	0.8449197860962567	1.0	-1.1071340924812283	train	PanCan
175	0.8502673796791443	1.0	-1.1143785562955308	train	PanCan
176	0.8556149732620321	1.0	-1.119492820233031	train	PanCan
177	0.8609625668449198	1.0	-1.129724592770788	train	PanCan
178	0.8663101604278075	1.0	-1.1427185880618742	train	PanCan
179	0.8716577540106952	1.0	-1.151225060434839	train	PanCan
180	0.8770053475935828	1.0	-1.15557637541094	train	PanCan
181	0.8823529411764706	1.0	-1.167993674190602	train	PanCan
182	0.8877005347593583	1.0	-1.1723855299708088	train	PanCan
183	0.893048128342246	1.0	-1.1959563432625862	train	PanCan
184	0.8983957219251337	1.0	-1.201746057344896	train	PanCan
185	0.9037433155080213	1.0	-1.2330230844268106	train	PanCan
186	0.9090909090909091	1.0	-1.275803135370451	train	PanCan
187	0.9144385026737968	1.0	-1.2786797903680447	train	PanCan
188	0.9197860962566845	1.0	-1.3600436282043646	train	PanCan
189	0.9251336898395722	1.0	-1.3680001118005203	train	PanCan
190	0.93048128342246	1.0	-1.3774721773138867	train	PanCan
191	0.9358288770053476	1.0	-1.3802341590982037	train	PanCan
192	0.9411764705882353	1.0	-1.408728080729016	train	PanCan
193	0.946524064171123	1.0	-1.4320079907783643	train	PanCan
194	0.9518716577540107	1.0	-1.4597712522172093	train	PanCan
195	0.9572192513368984	1.0	-1.4998642004783735	train	PanCan
196	0.9625668449197861	1.0	-1.5059305257660918	train	PanCan
197	0.9679144385026738	1.0	-1.5114779383661192	train	PanCan
198	0.9732620320855615	1.0	-1.5391778342767015	train	PanCan
199	0.9786096256684492	1.0	-1.5574719146402614	train	PanCan
200	0.983957219251337	1.0	-1.593960964776802	train	PanCan
201	0.9893048128342246	1.0	-1.6370353448637815	train	PanCan
202	0.9946524064171123	1.0	-1.7185803729006497	train	PanCan
203	1.0	1.0	-1.8352952188995353	train	PanCan
0	0.0	0.0	2.4249410453429197	test	PanCan
1	0.047619047619047616	0.0	1.4249410453429197	test	PanCan
2	0.09523809523809523	0.0	1.423040473089416	test	PanCan
3	0.14285714285714285	0.0	1.3230520988114172	test	PanCan
4	0.19047619047619047	0.0	1.1617297886703626	test	PanCan
5	0.23809523809523808	0.0	1.0722236109916305	test	PanCan
6	0.23809523809523808	0.5	0.6696049975900845	test	PanCan
7	0.2857142857142857	0.5	-0.04555840466852723	test	PanCan
8	0.3333333333333333	0.5	-0.059946302496607484	test	PanCan
